id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,76377,0,223,422,309,362.5,258.65625,1.0341743230819702,0.9911442995071411,0,0,800,534
1,186553,0,87,799,445,787.5,375.46875,1.0207034349441528,0.9599003791809082,0,0,800,534
2,31409,582,0,217,347,612.5,8.34375,1.0141433477401733,0.9732369780540466,0,0,800,534
3,14883,490,139,169,122,587.5,258.65625,1.0131707191467285,0.9791846871376038,0,0,800,534
4,4290,72,2,54,94,87.5,41.71875,1.0005450248718262,0.9877257943153381,0,0,800,534
5,9968,490,488,309,44,787.5,525.65625,0.9961279630661011,0.9851711988449097,0,0,800,534
6,11976,263,467,222,65,287.5,475.59375,0.9932537078857422,0.9887192845344543,0,0,800,534
7,5079,648,0,151,108,662.5,75.09375,0.989863932132721,0.9598997235298157,0,0,800,534
8,12690,381,0,418,66,537.5,58.40625,0.9889640212059021,0.9712380766868591,0,0,800,534
9,1957,0,0,50,56,12.5,8.34375,0.9885920286178589,0.9913573861122131,0,0,800,534
10,48919,510,0,289,434,662.5,8.34375,0.9872041940689087,0.9673430919647217,0,0,800,534
11,735,0,55,15,58,12.5,91.78125,0.9865804314613342,0.9731543660163879,0,0,800,534
12,7379,599,0,79,137,662.5,41.71875,0.9857125282287598,0.9850746393203735,0,0,800,534
13,2184,0,44,43,68,37.5,75.09375,0.9816950559616089,0.9796379804611206,0,0,800,534
14,637,0,169,40,29,12.5,175.21875,0.9806987643241882,0.9860031008720398,0,0,800,534
15,1452,281,47,30,69,287.5,108.46875,0.9781683087348938,0.9747784733772278,0,0,800,534
16,76221,0,26,422,506,337.5,258.65625,0.9771255254745483,0.9656454920768738,0,0,800,534
17,2481,235,287,53,77,237.5,342.09375,0.9746158719062805,0.9694807529449463,0,0,800,534
18,624,202,0,40,34,212.5,8.34375,0.9738972783088684,0.9777424335479736,0,0,800,534
19,12600,381,0,225,62,587.5,58.40625,0.9735696315765381,0.984027087688446,0,0,800,534
20,4270,172,3,52,97,212.5,41.71875,0.9733160138130188,0.9844294786453247,0,0,800,534
21,340,158,203,31,11,162.5,208.59375,0.9709456562995911,0.9912280440330505,0,0,800,534
22,20154,381,0,418,99,587.5,91.78125,0.9692506790161133,0.977331817150116,0,0,800,534
23,1570,202,0,121,37,212.5,8.34375,0.9689046144485474,0.9693558216094971,0,0,800,534
24,2986,628,96,60,103,662.5,158.53125,0.9670035243034363,0.9722405672073364,0,0,800,534
25,2538,581,243,55,70,612.5,292.03125,0.966964066028595,0.9812938570976257,0,0,800,534
26,85,484,0,6,14,487.5,8.34375,0.9668148159980774,1.0,0,0,800,534
